,date,calories,steps,dist,floors,sedant,active_light,active_fair,active_very,active_cals,sleep_start_hr,sleep_minutesAsleep,sleep_minutesAwake,sleep_awakeningsCount,sleep_timeInBed,sleep_REM,sleep_light,sleep_deep,sleep_start,sleep_efficiency
97,2018-04-06,2894,12949,9.67,29,647,310,24,36,1615,0.58,378.0,42.0,3.0,423.0,,,,00:35,90.0
98,2018-04-07,3018,14225,10.57,14,770,224,102,25,1737,0.83,300.0,19.0,2.0,319.0,,,,00:50,92.0
99,2018-04-08,2888,12806,9.51,6,1077,299,53,11,1607,,,,,,,,,,
100,2018-04-09,3125,12105,9.09,32,745,248,37,67,1786,1.62,304.0,39.0,25.0,343.0,56.0,195.0,53.0,01:37,89.0
101,2018-04-10,2761,8255,6.13,25,800,212,28,57,1377,2.13,299.0,44.0,22.0,343.0,51.0,189.0,59.0,02:08,87.0
102,2018-04-11,3233,13757,10.57,25,703,196,42,90,1878,0.93,360.0,49.0,25.0,409.0,67.0,222.0,71.0,00:56,88.0
103,2018-04-12,2724,10501,7.8,31,760,182,28,40,1313,0.67,375.0,55.0,36.0,430.0,56.0,227.0,92.0,00:40,87.0
104,2018-04-13,2802,10666,7.99,13,948,57,3,5,253,0.9,393.0,34.0,3.0,427.0,,,,00:54,92.0
105,2018-04-14,3740,20996,15.05,11,1440,0,0,0,0,,,,,,,,,,
106,2018-04-15,2849,10351,7.69,0,1383,57,0,0,212,,,,,,,,,,
107,2018-04-16,3036,11390,8.31,25,731,210,29,73,1678,1.07,355.0,39.0,4.0,397.0,,,,01:04,90.0
108,2018-04-17,2609,9000,6.69,20,777,223,18,23,1194,1.08,343.0,51.0,2.0,399.0,,,,01:05,87.0
109,2018-04-18,3188,11696,8.62,21,677,197,42,98,1868,0.6,370.0,53.0,4.0,426.0,,,,00:36,87.0
110,2018-04-19,3204,17268,13.26,43,661,214,43,94,1888,0.72,375.0,51.0,2.0,428.0,,,,00:43,88.0
111,2018-04-20,3128,15964,11.84,32,633,266,48,56,1856,0.37,364.0,73.0,28.0,437.0,21.0,244.0,99.0,00:22,83.0
112,2018-04-21,2990,14386,10.91,4,558,182,19,61,1304,0.42,527.0,93.0,40.0,620.0,60.0,307.0,97.0,00:25,85.0
113,2018-04-22,2740,11906,8.85,14,1440,0,0,0,0,,,,,,,,,,
114,2018-04-23,2919,10395,7.72,18,1440,0,0,0,0,,,,,,,,,,
115,2018-04-24,2427,7607,5.65,18,1440,0,0,0,0,,,,,,,,,,
116,2018-04-25,2934,11101,8.14,27,1440,0,0,0,0,,,,,,,,,,
117,2018-04-26,2553,10414,7.74,22,1440,0,0,0,0,,,,,,,,,,
118,2018-04-27,3254,16332,12.13,23,1439,0,0,0,0,,470.0,0.0,0.0,470.0,,,,,
119,2018-04-28,2836,8496,6.31,3,718,197,28,29,1125,23.97,,,,,,,,23:58,100.0
120,2018-04-29,3319,15481,11.5,76,998,157,89,114,2050,16.35,79.0,3.0,0.0,82.0,,,,16:21,96.0
